ICDId;ICDCode;ICDName;ICDNameTranslated
10466;Y56.8;Topikal diğer ajanların sebep olduğu ters etkiler;Topical in adverse effects caused by other agents
10467;Y56.9;Topikal ajanların sebep olduğu ters etkiler, tanımlanmamış;In adverse effects caused by topical agent, unspecified
10468;Y57;İlaçlar ve tedavi edici maddelerin sebep olduğu ters etkiler diğer;Drugs and therapeutic agents in adverse effects caused by other
10469;Y57.0;İştah baskılayıcılarının [anorektikler] sebep olduğu ters etkiler;Appetite suppressant [anorectic Join] in adverse effects caused
10470;Y57.1;Lipotropik ilaçların sebep olduğu ters etkiler;That adverse effects caused by the drug lipotropic
10471;Y57.2;Antidotlar ve bağlayıcı ajanların sebep olduğu ters etkiler, başka yerde sınıflanmamış ;Antidotes and in adverse effects caused by the binding agent, not elsewhere classified 
10472;Y57.3;Alkol temizleyicilerin sebep olduğu ters etkiler;That adverse effects caused by alcohol cleaner
10473;Y57.4;Farmosetik ara maddelerin sebep olduğu ters etkiler;That adverse effects caused by the intermediate Pharmacologic
10474;Y57.5;X-ray kontrast ajanların sebep olduğu ters etkiler;X-ray contrast agent in adverse effects caused by
10475;Y57.6;Teşhis diğer ajanlarının sebep olduğu ters etkiler;Diagnostic adverse effects caused by other agents
10476;Y57.7;Vitaminlerin sebep olduğu ters etkiler, başka yerde sınıflanmamış;The adverse effects of vitamins caused, not elsewhere classified
10477;Y57.8;Uyuşturucu ve ilaçların sebep olduğu ters etkiler, diğer;Drugs and drug caused adverse effects, other
10478;Y57.9;Uyuşturucu veya ilaçların sebep olduğu ters etkiler, tanımlanmamış;that adverse effects caused by the drug or the drug, unspecified
10479;Y58;Bakteriyel aşıların sebep olduğu ters etkiler;That adverse effects caused by bacterial vaccine
10480;Y58.0;BCG aşısının sebep olduğu ters etkiler;That adverse effects caused by BCG vaccination
10481;Y58.1;Tifo ve paratifo aşısının sebep olduğu ters etkiler;The adverse effects caused by the vaccine Typhoid and paratyphoid
10482;Y58.2;Kolera aşısının sebep olduğu ters etkiler;That adverse effects caused by the cholera vaccine
10483;Y58.3;Veba aşısının sebep olduğu ters etkiler;adverse effects caused by the plague vaccine
10484;Y58.4;Tetanoz aşısının sebep olduğu ters etkiler;That adverse effects caused by the tetanus vaccine
10485;Y58.5;Difteri aşısının sebep olduğu ters etkiler;That adverse effects caused by the diphtheria vaccine
10486;Y58.6;Bir boğmaca komponenti ile kombine boğmaca aşısının sebep olduğu ters etkiler;adverse effects caused by pertussis vaccine combined with a component pertussis
10487;Y58.8;Karma bakteriyel aşıların sebep olduğu ters etkiler, bir boğmaca komponenti ;Adverse effects caused by mixed bacterial vaccine, a pertussis components 
10488;Y58.9;Bakteriyel aşıların sebep olduğu ters etkiler, diğer ve tanımlanmamış;Caused by bacterial vaccine adverse effects, other and unspecified
10489;Y59;Aşılar ve biyolojik maddelerin sebep olduğu ters etkiler diğer ve tanımlanmamış ;Vaccines and other adverse effects caused by biological agents and unspecified 
10490;Y59.0;Viral aşıların sebep olduğu ters etkiler;That adverse effects caused by viral vaccines
10491;Y59.1;Riketsiyal aşıların sebep olduğu ters etkiler;That adverse effects caused by the rickettsial vaccines
10492;Y59.2;Protozoal aşıların sebep olduğu ters etkiler;That adverse effects caused by protozoal vaccines
10493;Y59.3;İmmünglobülinin sebep olduğu ters etkiler;That adverse effects caused by the immunoglobulin
10494;Y59.8;Aşılar ve biyolojik maddelerin sebep olduğu ters etkiler, diğer tanımlanmış;Vaccines and adverse effects caused by biological agents, other specified
10495;Y59.9;Aşı veya biyolojik maddelerin sebep olduğu ters etkiler, tanımlanmamış;Vaccine or in adverse effects caused by biological agents, unspecified
10496;Y60;Cerrahi ve tıbbi bakım esnasında kasıtsız kesi, delme perforasyon ve kanama;Cut unintentionally during surgical and medical care, drilling perforation and bleeding
10497;Y60.0;Cerrahi operasyon esnasında kasıtsız kesi, delme, perforasyon ve kanama;Cut unintentionally during surgical operations, drilling, perforation and hemorrhage
10498;Y60.1;İnfüzyon veya transfüzyon esnasında kasıtsız kesi, delme, perforasyon ve kanama ;During infusion or transfusion unintentional cut, puncture, perforation and hemorrhage 
10499;Y60.2;Böbrek diyalizi veya diğer perfüzyonlar sırasında kasıtsız kesi, delme, perforasyon ;During kidney dialysis or other perfusion unintentional cut, puncture, perforation 
10500;Y60.3;Enjeksiyon veya aşılama esnasında kasıtsız kesi, delme, perforasyon ve kanama;Cut unintentionally during injection or infusion, drilling, perforation and hemorrhage
10501;Y60.4;Endoskopik muayene esnasında kasıtsız kesi, delme, perforasyon ve kanama;Endoscopic examination of unintentional cut, puncture, perforation and hemorrhage
10502;Y60.5;Kalp kataterizasyonu esnasında kasıtsız kesi, delme, perforasyon ve kanama ;During cardiac catheterization unintentional cut, puncture, perforation and hemorrhage 
10503;Y60.6;Aspirasyon, delme ve diğer kateterizasyonlar esnasında kasıtsız kesi, delme, ;Aspiration, cut inadvertently during drilling and other catheterizations, drilling, 
10504;Y60.7;Lavmanın yapılması esnasında kasıtsız kesi, delme, perforasyon ve kanama;During the enema done unintentionally cut, puncture, perforation and hemorrhage
10505;Y60.8;Cerrahi ve tıbbi bakım esnasında kasıtsız kesi, delme, perforasyon ve kanama, diğer ;Cut unintentionally during surgical and medical care, drilling, perforation and hemorrhage, other 
10506;Y60.9;Cerrahi ve tıbbi bakım esnasında kasıtsız kesi, delme, perforasyon ve kanama, ;Cut unintentionally during surgical and medical care, drilling, perforation and hemorrhage, 
10507;Y61;Cerrahi ve tıbbi bakım esnasında vücutta kaza ile yabancı cisim bırakma;foreign bodies accidentally leave the body during surgical and medical care
10508;Y61.0;Cerrahi operasyon esnasında kaza ile yabancı cisim bırakma;leaving foreign bodies accidentally during surgery
10509;Y61.1;İnfüzyon veya transfüzyon esnasında kaza ile yabancı cisim bırakma;Leaving foreign bodies during infusion or transfusion accident
10510;Y61.2;Böbrek diyalizi veya diğer perfüzyonlar esnasında kaza ile yabancı cisim bırakma;leaving foreign bodies accidentally during kidney dialysis or other perfusion
10511;Y61.3;Enjeksiyon veya bağışıklama esnasında kaza ile yabancı cisim bırakma;leaving foreign bodies accidentally during injection or immunization
10512;Y61.4;Endoskopik muayene esnasında kaza ile yabancı cisim bırakma;Endoscopic examination foreign bodies accidentally leave
10513;Y61.5;Kalp kataterizasyonu esnasında kaza ile yabancı cisim bırakma;leaving foreign bodies accidentally during cardiac catheterization
10514;Y61.6;Aspirasyon, delme ve diğer kateterizasyonlar esnasında kaza ile yabancı cisim bırakma  ;Aspiration, leaving foreign bodies accidentally during drilling and other catheterizations  
10515;Y61.7;Kateter veya tamponun uzaklaştırılması esnasında kaza ile yabancı cisim bırakma ;Catheter or release during the removal of foreign bodies accidentally buffer 
10516;Y61.8;Cerrahi ve tıbbi bakımlar esnasında kaza ile yabancı cisim bırakma, diğer;Surgical and medical care during accidents leave foreign bodies, other
10517;Y61.9;Cerrahi ve tıbbi bakım esnasında kaza ile yabancı cisim bırakma,tanımlanmamış ;foreign bodies accidentally during surgical and medical care, unspecified 
10518;Y62;Cerrahi ve tıbbi bakım esnasında sterilite önlemlerin yetmezliği;failure of sterility precautions during surgical and medical care
10519;Y62.0;Cerrahi operasyon esnasında sterilite önlemlerin yetmezliği;failure of sterility measures during surgery
10520;Y62.1;İnfüzyon veya transfüzyon esnasında sterilite önlemlerin yetmezliği;measures the failure of sterility during infusion or transfusion
10521;Y62.2;Böbrek diyalizi veya diğer perfüzyonlar esnasında sterilite önlemlerin yetmezliği ;failure of sterility precautions during kidney dialysis or other perfusion 
10522;Y62.3;Enjeksiyon veya bağışıklama esnasında sterilite önlemlerin yetmezliği;failure of sterility measures during injection or immunization
10523;Y62.4;Endoskopik muayene esnasında sterilite önlemlerin yetmezliği;failure of sterility precautions during endoscopic examination
10524;Y62.5;Kalp kataterizasyonu esnasında sterilite önlemlerin yetmezliği;failure of sterility measures during the heart catheterization
10525;Y62.6;Aspirasyon, delme ve diğer kateterizasyonlar esnasında sterilite önlemlerin yetmezliği;Aspiration, failure of sterility precautions during drilling and other catheterizations
10526;Y62.7;Kateter veya tamponun uzaklaştırılması esnasında sterilite önlemlerin yetmezliği;failure of sterility measures during the removal of the catheter or buffer
10527;Y62.8;Cerrahi ve tıbbi bakımlar esnasında sterilite önlemlerin yetmezliği, diğer;failure of sterility precautions during surgical and medical care, other
10528;Y62.9;Cerrahi ve tıbbi bakım esnasında sterilite önlemlerin yetmezliği, tanımlanmamış;failure of sterility precautions during surgical and medical care, unspecified
10529;Y63;Cerrahi ve tıbbi bakım esnasında dozda yetmezlik;dose failure during surgical and medical care
10530;Y63.0;Transfüzyon veya infüzyon esnasında kan veya diğer sıvı veriliminin aşırı miktarı;excess quantity of blood or other fluids during transfusion or infusion administrations may
10531;Y63.1;İnfüzyon esnasında kullanılan sıvının yanlış seyreltilmesi;incorrect dilution of the fluid used during infusion
10532;Y63.2;Tedavi esnasında verilmiş radyasyonun aşırı dozu;excessive dose of radiation during treatment given
10533;Y63.3;Tıbbi bakım esnasında dikkatsizlik ve radyasyona maruz kalan hasta;patients exposed to radiation during medical care and carelessness
10534;Y63.4;Elektroşokta veya insülin-şok tedavisinde doz yetmezliği;failure or dose of insulin-shock therapy Electroshock
10535;Y63.5;Lokal uygulama ve tamponlamada uygun olmayan kesi;Local application and unsuitable herein incision buffered
10536;Y63.6;Zorunlu uyuşturucu, ilaç veya biyolojik maddenin verilmeyişi;Compulsory drug, the drug or biological agents verilmeyiş
10537;Y63.8;Cerrahi ve tıbbi bakım esnasında dozda yetmezlik, diğer;failure dose during surgery and medical treatment, other
10538;Y63.9;Cerrahi ve tıbbi bakım esnasında dozda yetmezlik, tanımlanmamış;dose failure during surgical and medical care, unspecified
10539;Y64;Kontamine tıbbi veya biyolojik maddeler;Contaminated medical or biological substances
10540;Y64.0;Kontamine tıbbi veya biyolojik maddenin nakli veya verilmesi;Giving transfusions or contaminated medical or biological substance
10541;Y64.1;Kontamine tıbbi veya biyolojik maddenin enjekte edilmesi veya bağışıklama ;Not contaminate the medical or biological substances injected or immunization 
10542;Y64.8;Vasıtalar tarafından diğer kontamine tıbbi veya biyolojik madde verilmesi;Giving other contaminated medical or biological substances by means
10543;Y64.9;Vasıtalar tarafından tanımlanmamış kontamine tıbbi veya biyolojik madde verilmesi;contaminated medical or biological agents identified by granting Vehicles
10544;Y65;Cerrahi ve tıbbi bakım esnasında diğer istenmeyen olaylar;Additional adverse events during surgical and medical care
10545;Y65.0;Transfüzyonda uygun olmayan kan kullanımı;improper use of blood transfusion
10546;Y65.1;İnfüzyonda yanlış sıvı kullanımı;Using the wrong fluid infusion
10547;Y65.2;Cerrahi operasyon esnasında sütür veya ligatürde yetmezlik;suture or ligature during surgical operation in failure
10548;Y65.3;Anestezi uygulaması esnasında trakeal tüpün yanlış yerleştirilmesi;Improper insertion of the tracheal tube during anesthesia
10549;Y65.4;Tüp veya tanımlanmamış enstrumanın ilk uygulanması veya uzaklaştırılmasında yetmezlik;The tube of the instrument or unspecified failure in the first application or removal
10550;Y65.5;Uygun olmayan operasyonun uygulanması;applying improper operation
10551;Y65.8;Cerrahi veya tıbbi bakım esnasında diğer tanımlanmış kazalar;Other specified accident during the surgery or medical care
10552;Y66;Cerrahi ve tıbbi bakım verilmemesi;Omission of surgical and medical care
10553;Y69;Cerrahi ve tıbbi bakım esnasında görülen tanımlanmamış istenmeyen durumlar;unspecified undesirable situations occurring during surgical and medical care
10554;Y70;İstenmeyen olaylara sebep olan anestezi cihazları;anesthesia devices that may cause undesired events
10555;Y71;İstenmeyen olaylara sebep olan kardiyovasküler cihazlar;cardiovascular devices that may cause undesired events
10556;Y72;İstenmeyen olaylara sebep olan kulak burun boğaz aletleri;ear, nose and throat that may cause undesired incidents tools
10557;Y73;İstenmeyen olaylara sebep olan gastroenteroloji ve üroloji cihazları;Adverse events that cause gastroenterology and urology devices
10558;Y74;İstenmeyen olaylara sebep olan genel hastane ve personel kullanım aletleri;Adverse events that cause general hospital and staff use instruments
10559;Y75;İstenmeyen olaylara sebep olan nörolojik aletleri;tools that may cause undesired neurological event
10560;Y76;İstenmeyen olaylara sebep olan obstetrik ve jinekolojik aletleri;Adverse events that cause gynecological and obstetrical instruments
10561;Y77;İstenmeyen olaylara sebep olan göz aletleri;Adverse events that cause eye appliances
10562;Y78;İstenmeyen olaylara sebep olan radyoloji aletleri;radiology appliances that may cause undesired events
10563;Y79;İstenmeyen olaylara sebep olan ortopedi aletleri;orthopedic appliances that may cause undesired events
10564;Y80;İstenmeyen olaylara sebep olan fiziksel tıp aletleri;Adverse events that cause physical medical instruments
10565;Y81;İstenmeyen olaylara sebep olan genel ve plastik cerrahi aletleri;causing adverse events in general and plastic surgery instruments
10566;Y82;İstenmeyen olaylara sebep olan diğer ve tanımlanmamış tıbbi aletler;Other and unspecified medical devices that may cause undesired events
10567;Y83;Müdahale esnasında istenmeyen bir olaya sebep olmaksızın hastada anormal ;abnormal in patients without causing undesired event during the intervention 
10568;Y83.0;Bütün organ nakilli cerrahi operasyon sonrası anormal reaksiyon veya geç komplikasyon;All organs after transplant surgery is an abnormal reaction or late complications
10569;Y83.1;Yapay iç aracın implantıyla cerrahi operasyon sonrası anormal reaksiyon veya ;After surgery the implant with the artificial internal tool or abnormal reaction 
10570;Y83.2;Anastomoz, bypass veya greftli cerrahi operasyon sonrası anormal reaksiyon ;The anastomosis bypass graft surgery or an abnormal reaction 
10571;Y83.3;Dış stoma oluşumlu cerrahi operasyon sonrası anormal reaksiyon veya geç komplikasyon;External stoma occurring abnormal reaction or late complications after surgery
10572;Y83.4;Konstrüktif cerrahi sonrası anormal reaksiyon veya geç komplikasyon,diğer ;Constructive or late complications after surgery, abnormal reaction, other 
10573;Y83.5;Ekstremite (ler) in amputasyonu sonrası anormal reaksiyon veya geç komplikasyon;Limb (s) or late complications abnormal reaction after amputation
10574;Y83.6;Organın (kısmi) (tam) diğer uzaklaştırılması sonrası anormal reaksiyon veya ;Organ (partial) (complete) removal of abnormal reaction after the other or 
10575;Y83.8;Cerrahi diğer uygulamalar sonrası anormal reaksiyon veya geç komplikasyon;Late complications after surgery abnormal reaction or other applications,
10576;Y83.9;Cerrahi uygulama, tanımlanmamış sonrası anormal reaksiyon veya geç komplikasyon;Surgical procedure, an abnormal reaction or late complications unspecified
10577;Y84;Müdahale esnasında istenmeyen bir olaya sebep olmaksızın hastada anormal ;abnormal in patients without causing undesired event during the intervention 
10578;Y84.0;Kalp kateterizasyonu sonrası anormal reaksiyon veya geç komplikasyon;Abnormal reaction or late complications after cardiac catheterization
10579;Y84.1;Böbrek diyalizi sonrası anormal reaksiyon veya geç komplikasyon;Abnormal reaction or late complication after kidney dialysis
10580;Y84.2;Radyolojik uygulama ve radyoterapi sonrası anormal reaksiyon veya geç komplikasyon;Radiological procedures and radiotherapy abnormal reaction or late complications
10581;Y84.3;Şok tedavisi sonrası anormal reaksiyon veya geç komplikasyon;abnormal reaction or late complication after shock treatment
10582;Y84.4;Sıvının aspirasyonu sonrası anormal reaksiyon veya geç komplikasyon;abnormal reaction or late complication after liquid aspiration
10583;Y84.5;Mide veya duodenal sonda takılması sonrası anormal reaksiyon veya geç komplikasyon;Gastric or duodenal catheter after insertion abnormal reaction or late complications
10584;Y84.6;Üriner kateterizasyon sonrası anormal reaksiyon veya geç komplikasyon;Urinary catheterization after abnormal reaction or late complications
10585;Y84.7;Kan-örnekleme sonrası anormal reaksiyon veya geç komplikasyon;The blood-sampling or late complications after an abnormal reaction
10586;Y84.8;Tıbbi diğer uygulamaları sonrası anormal reaksiyon veya geç komplikasyon;Abnormal reaction or late complication after other medical applications
10587;Y84.9;Tıbbi uygulaması, tanımlanmamış sonrası anormal reaksiyon veya geç komplikasyon;Medical applications, unspecified abnormal reaction after or late complications
10588;Y85;Taşıma kazası sekeli;Transport accident sequelae
10589;Y85.0;Motor-araç kazasının sekeli;sequelae of motor-vehicle accidents
10590;Y85.9;Taşıma kazalarının diğer ve tanımlanmamış sekeli;sequelae of other and unspecified transport accidents
10591;Y86;Kaza sekelleri, diğer;Sequelae of accidents, other
10592;Y87;Gerçekleşme şekli belirlenmemiş saldırı ve olayların ve kendine ;Realization of attacks and incidents and self-determined shape 
10593;Y87.0;Kasıtlı kendine zararın sekeli;Sequelae of intentional self-harm
10594;Y87.1;Saldırının sekeli;sequelae of attack
10595;Y87.2;Belirlenmemiş kastın olaylarının sekeli;The events of undetermined intent sequelae
10596;Y88;Cerrahi ve tıbbi bakım sekeli;Sequelae of surgical and medical care
10597;Y88.0;Tedavi kullanımında uyuşturucular, ilaçlar ve biyolojik maddeler tarafından neden ;drugs for use in the treatment, caused by drugs and biological substances, 
10598;Y88.1;Cerrahi ve tıbbi uygulamalar esnasında hastalara ait kazaların sekeli;sequelae of accidents on the patient during surgery and medical applications
10599;Y88.2;Teşhis ve tedavi kullanımında tıbbi araçlarla birlikte ters olayların sekeli;sequelae of adverse events with the use of medical devices for the diagnosis and treatment
10600;Y88.3;Uygulama sırasında kazadan bahsetmeksizin hastanın anormal reaksiyonunun, ;Without mentioned accident during application of the patient's abnormal reaction, 
10601;Y89;Dış sebeplerin diğer sekeli;Sequelae of other external causes
10602;Y89.0;Yasal müdahalenin sekeli;Legal intervention sequelae
10603;Y89.1;Savaş operasyonlarının sekeli;sequelae of war operations
10604;Y89.9;Dış nedenin tanımlanmamış sekeli;The sequel unspecified external causes
10605;Y90;Kan alkol düzeyine göre alkol alındığının belirlenmesinin kanıtı;Determining whether the evidence received by the alcohol blood alcohol level
10606;Y90.0;20 mg/100 ml’den az kan alkol düzeyi;20 mg / ml of blood alcohol level is less than 100
10607;Y90.1;20-39 mg/100 ml kan alkol düzeyi;20-39 mg / 100 ml of blood alcohol level
10608;Y90.2;40-59 mg/100 ml kan alkol düzeyi;40-59 mg / 100 ml of blood alcohol level
10609;Y90.3;60-79 mg/100 ml kan alkol düzeyi;60-79 mg / 100 ml of blood alcohol level
10610;Y90.4;80-99 mg/100 ml kan alkol düzeyi;80-99 mg / 100 ml of blood alcohol level
10611;Y90.5;100-119 mg/100 ml kan alkol düzeyi;100-119 mg / 100 ml of blood alcohol level
10612;Y90.6;120-199 mg/100 ml kan alkol düzeyi;120-199 mg / 100 ml of blood alcohol level
10613;Y90.7;200-239 mg/100 ml kan alkol düzeyi;200-239 mg / 100 ml of blood alcohol level
10614;Y90.8;240 mg/100 ml veya daha çok kan alkol düzeyi;240 mg / 100 ml or more blood alcohol level
10615;Y90.9;Kanda alkolün bulunuşu, düzey tanımlanmamış;The presence of alcohol in blood, level unspecified
10616;Y91;Zehirlenmenin düzeyine göre alkol içeriği belirlenmesinin kanıtı;According to the evidence to determine the alcohol content level of poisoning
10617;Y91.0;Hafif alkol zehirlenmesi;Light alcohol poisoning
10618;Y91.1;Orta alkol zehirlenmesi;Middle of alcohol poisoning
10619;Y91.2;İleri alkol zehirlenmesi;Next alcohol poisoning
10620;Y91.3;Çok ileri derecede alkol zehirlenmesi;Very severe alcohol intoxication
10621;Y91.9;Alkol bulunuşu, diğer bir şekilde tanımlanmamış;The presence of alcohol is not defined in any other way
10622;Y95;Nosocomial durum;Nosocomial cases
10623;Y96;İş ile ilgili durum;Business-related conditions
10624;Y97;Çevre kirliliği ile ilgili durum;conditions associated with environmental pollution
10625;Y98;Yaşam tarzı ile ilgili durum;lifestyle-related conditions
10626;Z00;Yakınma veya bilinen teşhisi olmayan kişilerin genel muayene ve incelemesi ;Complaints or general inspection and examination of persons with no known diagnosis 
10627;Z00.0;Genel tıbbi muayene;General medical examination
10628;Z00.1;Rutin çocuk sağlığı muayenesi;Routine child health examination
10629;Z00.2;Çocuklukta hızlı büyüme döneminde muayene;During examination of rapid growth in childhood
10630;Z00.3;Adolesan gelişim durumu için muayene;examination for adolescent development state
10631;Z00.4;Genel psikiyatrik muayene, başka yerde sınıflanmamış;General psychiatric examination, not elsewhere classified
10632;Z00.5;Organ veya doku potansiyel vericisinin muayenesi;examination of potential organ or tissue donor
10633;Z00.6;Klinik araştırma programında normal karşılaştırma ve kontrol için muayene ;normal comparison and control in clinical research program for inspection 
10634;Z00.8;Genel muayeneler, diğer;General inspection, other
10635;Z01;Yakınma veya bilinen teşhisi olmayan kişilerin diğer özel muayene ;Complaints or other special diagnostic examinations of persons not known 
10636;Z01.0;Göz ve görme muayenesi;Eye and vision examination
10637;Z01.1;Kulak ve işitme muayenesi;Ear and Hearing examination
10638;Z01.2;Diş muayenesi;Checkups
10639;Z01.3;Kan basıncı muayenesi;Examination of blood pressure
10640;Z01.4;Jinekolojik muayene (genel) (olağan);Gynecological (general) (ordinary)
10641;Z01.5;Tanısal deri ve duyarlılık testleri;Diagnostic skin and sensitization tests
10642;Z01.6;Radyolojik muayene, başka yerde sınıflanmamış;Radiological examination, not elsewhere classified
10643;Z01.7;Laboratuvar muayenesi;Laboratory examination
10644;Z01.8;Özel muayeneler diğer, tanımlanmış;Special examinations Other specified
10645;Z01.9;Özel muayene, tanımlanmamış;Special examination, unspecified
10646;Z02;İdari amaçlar için muayene;examination for administrative purposes
10647;Z02.0;Eğitim kurumlarına kabul için muayene;examination for admission to educational institutions
10648;Z02.1;İşe girme öncesi muayene;examination prior to entering employment
10649;Z02.2;Kurumlara kabul için muayene;examination for admission to institutions
10650;Z02.3;Askere alınma için muayene;examination for recruitment
10651;Z02.4;Ehliyet için muayene;examination for driver's license
10652;Z02.5;Spora katılım için muayene;examination for sports participation
10653;Z02.6;Sigorta için muayene;examination for insurance
10654;Z02.7;Tıbbi belgenin çıkarılması;Removing the medical certificate
10655;Z02.8;İdari amaçlar için diğer muayeneler;Other examinations for administrative purposes
10656;Z02.9;İdari amaçlar için muayene, tanımlanmamış;examination for administrative purposes, unspecified
10657;Z03;Şüpheli hastalıklar ve durumlar için tıbbi gözlem ve değerlendirme;medical observation and evaluation for suspected disease and conditions
10658;Z03.0;Tüberküloz şüphesi için gözlem;observation for suspected tuberculosis
10659;Z03.1;Malign neoplazm şüphesi için gözlem;observation for suspected malignant neoplasm
10660;Z03.2;Zihin ve davranış bozukluğu şüphesi için gözlem;Mental and behavioral disorders observation for suspected
10661;Z03.3;Sinir sistem bozukluğu şüphesi için gözlem;observation for suspected nervous system disorder
10662;Z03.4;Kalp krizi şüphesi için gözlem;observation for suspected heart attack
10663;Z03.5;Şüpheli kalp damar hastalıkları için diğer gözlem;Other observation for suspected cardiac vascular diseases
10664;Z03.6;Yenilmiş madde toksik etki şüphesi için gözlem;Defeated observation suspected toxic substances
10665;Z03.8;Şüpheli hastalıklar ve durumlar için diğer gözlem;Other observation for suspected disease and conditions
10666;Z03.9;Şüpheli hastalık veya durum için gözlem, tanımlanmamış;observation for suspected disease or condition, unspecified
10667;Z04;Muayene ve gözlem için diğer nedenler;Examination and observation for other reasons
10668;Z04.0;Kan-alkol ve kan-uyuşturucu testi;Blood-alcohol and blood-drug test
10669;Z04.1;Trafik kazası sonrası muayene ve gözlem;Traffic accident after examination and observation
10670;Z04.2;İş kazası sonrası muayene ve gözlem;Work accident after examination and observation
10671;Z04.3;Kazalar sonrası diğer muayene ve gözlem;Accidents After inspection and other observations
10672;Z04.4;Zorla ırza geçme ve iğfal sonrası muayene ve gözlem;Forced rape and seduction after examination and observation
10673;Z04.5;Dayak sonrası muayene ve gözlem;Beating after examination and observation
10674;Z04.6;Genel psikiyatrik muayene, idareci tarafından istenilmiş;General psychiatric examination, was asked by administrators
10675;Z04.8;Muayene ve gözlem için diğer tanımlanmış nedenler;Examination and observation for other specified reasons
10676;Z04.9;Muayene ve gözlem için tanımlanmamış neden;Examination and observation for unspecified reasons
10677;Z08;Malign neoplazm tedavisi sonrası takip muayenesi;follow-up examination after treatment for malignant neoplasm
10678;Z08.0;Malign neoplazmı cerrahisi sonrası takip muayenesi;follow-up examination after surgery for malignant neoplasm
10679;Z08.1;Malign neoplazm radyoterapisi sonrası takip muayenesi;follow-up examination after radiotherapy for malignant neoplasm
10680;Z08.2;Malign neoplazm kemoterapisi sonrası takip muayenesi;follow-up examination after chemotherapy for malignant neoplasm
10681;Z08.7;Malign neoplazm kombinesi tedavi sonrası takip muayenesi;follow-up examination after combined treatment for malignant neoplasm
10682;Z08.8;Malign neoplazm diğer tedavileri sonrası takip muayenesi;follow-up examination after other treatment for malignant neoplasm
10683;Z08.9;Malign neoplazm için tanımlanmamış tedavi sonrası takip muayenesi;follow-up examination after unspecified treatment for malignant neoplasm
10684;Z09;Malign neoplazm harici diğer durumlar için tedavi sonrası takip muayenesi ;follow-up examination after treatment for malignant neoplasm of other external conditions 
10685;Z09.0;Cerrahi sonrası takip muayenesi için diğer durumlar;follow-up examination after surgery for other conditions
10686;Z09.1;Radyoterapi sonrası takip muayenesi için diğer durumlar;follow-up examination after radiotherapy for other conditions
10687;Z09.2;Kemoterapi sonrası takip muayenesi için diğer durumlar;follow-up examination after chemotherapy for other conditions
10688;Z09.3;Psikoterapi sonrası takip muayenesi;follow-up examination after psychotherapy
10689;Z09.4;Kırık tedavisi sonrası takip muayenesi;follow-up examination after treatment of fracture
10690;Z09.7;Kombine tedavi sonrası takip muayenesi için diğer durumlar;Other conditions for follow-up examination after combined treatment
10691;Z09.8;Tedavi sonrası diğer takip muayenesi için diğer durumlar;Other follow-up examination after treatment for other conditions
10692;Z09.9;Tedavi sonrası tanımlanmamış takip muayenesi için diğer durumlar;follow-up examination after unspecified treatment for other conditions
10693;Z10;Belirlenmiş alt nüfusun rutin genel sağlık kontrolü;Designated routine checkup of the sub-population
10694;Z10.0;Mesleki sağlık muayenesi;Occupational health examination
10695;Z10.1;Kurum mensuplarının rutin genel sağlık kontrolü;routine checkup members of the organization
10696;Z10.2;Silahlı kuvvetlerin genel sağlık kontrolü;general health check of the armed forces
10697;Z10.3;Spor takımlarının rutin genel sağlık kontrolü;routine checkup of sports teams
10698;Z10.8;Belirlenmiş alt nüfusların diğer rutin genel sağlık kontrolü;Other routine checkup of the identified sub-populations
10699;Z11;Enfeksiyöz ve paraziter hastalıklar için özel tarama muayenesi ;special screening examination for infectious and parasitic diseases 
10700;Z11.0;Bağırsak enfeksiyon hastalıkları için özel tarama muayenesi;special screening examination for intestinal infectious diseases
10701;Z11.1;Solunum tüberkülozu için özel tarama muayenesi;special screening examination for respiratory tuberculosis
10702;Z11.2;Bakteriyel hastalıklar için diğer özel tarama muayenesi;special screening examination for other bacterial diseases
10703;Z11.3;Cinsel yolla bulaşan enfeksiyonlar için özel tarama muayenesi;special screening examination for sexually transmitted infections
10704;Z11.4;İnsan immünyetmezlik virüs [HIV] için özel tarama muayenesi;Human immunodeficiency virus [HIV] for a special screening examination
10705;Z11.5;Viral hastalıklar için diğer özel tarama muayenesi;special screening examination for other viral diseases
10706;Z11.6;Protozoal hastalıklar ve helmintiyazisler için diğer özel tarama muayenesi ;special screening examination for other protozoal diseases and for helmintiyazis 
10707;Z11.8;Enfeksiyon ve parazit hastalıkları için diğer özel tarama muayenesi;Other special screening examination for infectious and parasitic diseases
10708;Z11.9;Enfeksiyon ve parazit hastalıkları için özel tarama muayenesi,tanımlanmamış ;special screening examination for infectious and parasitic diseases, unspecified 
10709;Z12;Neoplazmlar için özel tarama muayenesi;special screening examination for neoplasm
10710;Z12.0;Mide neoplazmı için özel tarama muayenesi;special screening examination for neoplasm of stomach
10711;Z12.1;Bağırsak neoplazmı için özel tarama muayenesi;special screening examination for intestinal neoplasms
10712;Z12.2;Solunum organları neoplazmı için özel tarama muayenesi;special screening examination for neoplasm of respiratory organs
10713;Z12.3;Meme neoplazmı için özel tarama muayenesi;special screening examination for breast neoplasm
10714;Z12.4;Serviks neoplazmı için özel tarama muayenesi;special screening examination for neoplasm of the cervix
10715;Z12.5;Prostat neoplazmı için özel tarama muayenesi;special screening examination for neoplasm of prostate
